Title,Worldwide
Home Alone,"$285,761,244"
Ghost,"$217,631,306"
Dances with Wolves,"$184,208,848"
Pretty Woman,"$178,406,268"
Teenage Mutant Ninja Turtles,"$135,265,915"
The Hunt for Red October,"$122,012,643"
Total Recall,"$119,394,840"
Die Hard 2,"$117,540,947"
Dick Tracy,"$103,738,726"
Kindergarten Cop,"$91,457,688"
Back to the Future Part III,"$87,727,583"
Days of Thunder,"$87,163,545"
Presumed Innocent,"$86,303,188"
Another 48 Hrs.,"$80,818,974"
Three Men and a Little Lady,"$71,609,321"
Bird on a Wire,"$70,978,012"
The Godfather: Part III,"$66,666,062"
Flatliners,"$61,489,265"
Misery,"$61,276,872"
Edward Scissorhands,"$56,362,352"
Problem Child,"$53,470,891"
Arachnophobia,"$53,208,180"
Awakenings,"$52,096,475"
Look Who's Talking Too,"$47,789,074"
Hard to Kill,"$47,410,827"
Goodfellas,"$46,836,214"
Marked for Death,"$46,044,396"
RoboCop 2,"$45,681,173"
The Jungle Book 1990 Re-release,"$44,645,619"
Young Guns II,"$44,143,410"
Gremlins 2: The New Batch,"$41,482,207"
Rocky V,"$40,946,358"
Joe Versus the Volcano,"$39,404,261"
Postcards from the Edge,"$39,071,603"
Mermaids,"$35,419,397"
Darkman,"$33,878,502"
Air America,"$31,053,601"
Predator 2,"$30,669,413"
Green Card,"$29,888,235"
Pacific Heights,"$29,381,956"
Child's Play 2,"$28,501,605"
The Rescuers Down Under,"$27,931,461"
Internal Affairs,"$27,734,391"
Cadillac Man,"$27,627,310"
Memphis Belle,"$27,441,977"
House Party,"$26,385,627"
Jacob's Ladder,"$26,118,851"
The Exorcist III,"$26,098,824"
Fantasia 1990 Re-release,"$25,363,371"
Navy Seals,"$25,069,101"
Ernest Goes to Jail,"$25,029,569"
Ghost Dad,"$24,707,633"
My Blue Heaven,"$23,591,472"
The Russia House,"$22,997,992"
The First Power,"$22,424,195"
The Rookie,"$21,633,874"
The Freshman,"$21,460,601"
The Adventures of Ford Fairlane,"$21,413,502"
Quigley Down Under,"$21,413,105"
Madhouse,"$21,036,771"
Hamlet,"$20,710,451"
Jetsons: The Movie,"$20,305,841"
Stella,"$20,240,128"
Taking Care of Business,"$20,005,435"
Betsy's Wedding,"$19,740,070"
DuckTales the Movie: Treasure of the Lost Lamp,"$18,115,724"
Sibling Rivalry,"$17,854,933"
White Palace,"$17,487,531"
The Guardian,"$17,037,887"
Death Warrant,"$16,853,487"
Tremors,"$16,667,084"
Tales from the Darkside: The Movie,"$16,324,573"
Men at Work,"$16,247,964"
I Love You to Death,"$16,186,793"
Mo' Better Blues,"$16,153,593"
Avalon,"$15,740,796"
The Bonfire of the Vanities,"$15,691,192"
Revenge,"$15,645,616"
Reversal of Fortune,"$15,445,131"
Mr. Destiny,"$15,379,253"
Spaced Invaders,"$15,369,573"
Quick Change,"$15,260,154"
Fire Birds,"$14,760,451"
Wild at Heart,"$14,560,247"
Lord of the Flies,"$13,985,225"
The Grifters,"$13,446,769"
Crazy People,"$13,236,513"
Bad Influence,"$12,626,043"
Cinema Paradiso,"$11,990,401"
Graveyard Shift,"$11,582,891"
Henry & June,"$11,567,449"
Pump Up the Volume,"$11,541,758"
Opportunity Knocks,"$11,359,129"
Q&A,"$11,207,891"
Wild Orchid,"$11,060,485"
Nuns on the Run,"$10,959,015"
Narrow Margin,"$10,873,237"
The Witches,"$10,360,553"
The Adventures of Milo and Otis 1990 Re-release,"$10,351,534"
The Two Jakes,"$10,005,969"
Miami Blues,"$9,888,167"
Havana,"$9,243,140"
Nightbreed,"$8,862,354"
Ski Patrol,"$8,533,973"
Cry-Baby,"$8,266,343"
Blue Steel,"$8,217,997"
Funny About Love,"$8,141,292"
"The Cook, the Thief, His Wife & Her Lover","$7,724,701"
Mr. & Mrs. Bridge,"$7,698,010"
Alice,"$7,331,647"
Almost an Angel,"$6,939,946"
Delta Force 2: The Colombian Connection,"$6,698,361"
Flashback,"$6,488,114"
The Gods Must Be Crazy II,"$6,291,444"
Men Don't Leave,"$6,070,725"
Night of the Living Dead,"$5,835,247"
Cyrano de Bergerac,"$5,820,020"
Stanley & Iris,"$5,820,015"
Leatherface: Texas Chainsaw Massacre III,"$5,765,562"
Hardware,"$5,728,953"
Loose Cannons,"$5,585,154"
Miller's Crossing,"$5,080,409"
The Handmaid's Tale,"$4,960,385"
The Long Walk Home,"$4,873,620"
Longtime Companion,"$4,609,953"
Graffiti Bridge,"$4,562,778"
Dark Angel,"$4,348,368"
Lisa,"$4,347,648"
Lambada,"$4,263,112"
China Cry: A True Story,"$4,212,828"
Heart Condition,"$4,134,992"
Tie Me Up! Tie Me Down!,"$4,087,361"
Mountains of the Moon,"$4,011,793"
Short Time,"$4,010,647"
"Welcome Home, Roxy Carmichael","$3,989,297"
The Lemon Sisters,"$3,473,905"
A Shock to the System,"$3,417,056"
Metropolitan,"$2,938,208"
Desperate Hours,"$2,742,912"
Blind Fury,"$2,692,037"
"After Dark, My Sweet","$2,678,414"
King of New York,"$2,554,476"
Impulse,"$2,544,504"
Class of 1999,"$2,459,895"
Body Chemistry,"$2,415,312"
Downtown,"$2,346,150"
White Hunter Black Heart,"$2,319,124"
The Nasty Girl,"$2,281,569"
Texasville,"$2,268,181"
Vincent & Theo,"$2,231,274"
Def by Temptation,"$2,218,579"
Eating,"$2,100,538"
The Sheltering Sky,"$2,075,084"
The Krays,"$2,060,847"
Dreams,"$1,963,207"
State of Grace,"$1,911,542"
The Forbidden Dance,"$1,823,154"
Tune in Tomorrow...,"$1,794,001"
The Nutcracker Prince,"$1,781,694"
Too Beautiful for You,"$1,776,440"
Last Exit to Brooklyn,"$1,730,005"
The Rain Killer,"$1,696,066"
Brain Dead,"$1,627,955"
Jesus of Montreal,"$1,601,612"
May Fools,"$1,576,702"
The Haunting of Morella,"$1,547,867"
The Last of the Finest,"$1,531,489"
Streets,"$1,510,053"
A Cry in the Wild,"$1,494,969"
The Field,"$1,494,399"
Love at Large,"$1,436,308"
Monsieur Hire,"$1,417,030"
Courage Mountain,"$1,393,610"
Repossessed,"$1,382,462"
Daddy's Dyin'... Who's Got the Will?,"$1,373,728"
Everybody Wins,"$1,372,350"
The Fourth War,"$1,305,887"
The Hot Spot,"$1,293,976"
Bloodfist II,"$1,292,323"
This Is Not Frank's Planet/Snowie and the Seven Dorps/Poumse...,"$1,289,551"
Robot Jox,"$1,272,977"
Slumber Party Massacre III,"$1,242,995"
The Icicle Thief,"$1,231,622"
Vital Signs,"$1,224,605"
Without You I'm Nothing,"$1,218,730"
The Boyfriend School,"$1,171,762"
To Sleep with Anger,"$1,161,135"
Where the Heart Is,"$1,106,475"
Hidden Agenda,"$1,030,938"
Corporate Affairs,"$1,006,575"
Come See the Paradise,"$947,306"
Sweetie,"$938,065"
The Blood of Heroes,"$882,290"
Angel Town,"$855,810"
Waiting for the Light,"$808,690"
C'est la vie,"$805,472"
Listen Up: The Lives of Quincy Jones,"$776,699"
22nd Annual International Tournée of Animation,"$768,304"
Strapless,"$764,794"
Coupe de Ville,"$715,983"
Beauty and the Beast,"$248,802,521"
Terminator 2: Judgment Day,"$204,843,345"
Robin Hood: Prince of Thieves,"$165,493,908"
The Silence of the Lambs,"$130,742,922"
City Slickers,"$124,033,791"
Hook,"$119,654,823"
The Addams Family,"$113,502,426"
Sleeping with the Enemy,"$101,599,005"
Father of the Bride,"$89,325,780"
The Naked Gun 2½: The Smell of Fear,"$86,930,411"
Fried Green Tomatoes,"$82,418,501"
Cape Fear,"$79,091,969"
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"$78,656,813"
Backdraft,"$77,868,585"
Star Trek VI: The Undiscovered Country,"$74,888,996"
The Prince of Tides,"$74,787,599"
JFK,"$70,405,498"
Hot Shots!,"$69,467,617"
What About Bob?,"$63,707,829"
One Hundred and One Dalmatians 1991 Re-release,"$60,830,285"
The Last Boy Scout,"$59,509,925"
My Girl,"$59,489,799"
Boyz n the Hood,"$57,504,069"
Doc Hollywood,"$54,830,779"
Bugsy,"$49,114,016"
New Jack City,"$47,624,353"
The Rocketeer,"$46,704,056"
Thelma & Louise,"$45,454,078"
Point Break,"$43,218,387"
Regarding Henry,"$43,001,500"
The Fisher King,"$41,895,491"
Out for Justice,"$39,673,161"
The Doctor,"$38,120,905"
Bill & Ted's Bogus Journey,"$38,037,513"
Dead Again,"$38,016,380"
Soapdish,"$36,489,888"
Freddy's Dead: The Final Nightmare,"$34,872,033"
White Fang,"$34,793,160"
The Doors,"$34,416,893"
King Ralph,"$34,002,045"
Curly Sue,"$33,691,313"
Dying Young,"$33,669,178"
Grand Canyon,"$33,243,020"
Jungle Fever,"$32,482,682"
Double Impact,"$30,102,717"
L.A. Story,"$28,862,081"
Deceived,"$28,738,096"
Necessary Roughness,"$26,255,594"
The Hard Way,"$25,895,485"
Other People's Money,"$25,682,090"
Don't Tell Mom the Babysitter's Dead,"$25,196,249"
Problem Child 2,"$25,104,700"
Little Man Tate,"$25,010,896"
Class Action,"$24,277,858"
The People Under the Stairs,"$24,204,154"
Lionheart,"$24,078,196"
Oscar,"$23,562,716"
Frankie and Johnny,"$22,773,535"
Pure Luck,"$22,641,969"
An American Tail: Fievel Goes West,"$22,166,041"
Only the Lonely,"$21,830,957"
Ricochet,"$21,756,163"
F/X2,"$21,082,165"
Mobsters,"$20,246,790"
House Party 2,"$19,438,638"
Mortal Thoughts,"$18,784,957"
Paradise,"$18,634,643"
For the Boys,"$17,860,280"
The NeverEnding Story II: The Next Chapter,"$17,373,527"
Hudson Hawk,"$17,218,080"
Defending Your Life,"$16,371,128"
Billy Bathgate,"$15,565,363"
Highlander II: The Quickening,"$15,556,340"
Switch,"$15,545,943"
A Kiss Before Dying,"$15,429,177"
Shipwrecked,"$15,104,156"
Toy Soldiers,"$15,073,942"
Madonna: Truth or Dare,"$15,014,252"
Child's Play 3,"$14,960,255"
The Commitments,"$14,919,570"
Once Around,"$14,851,083"
All I Want for Christmas,"$14,812,144"
Not Without My Daughter,"$14,789,113"
Flight of the Intruder,"$14,587,732"
Ernest Scared Stupid,"$14,143,280"
The Perfect Weapon,"$14,061,361"
Drop Dead Fred,"$13,878,334"
The Marrying Man,"$12,454,768"
Shattered,"$11,511,031"
Career Opportunities,"$11,336,986"
One Good Cop,"$11,276,846"
V.I. Warshawski,"$11,128,309"
The Super,"$11,000,863"
A Rage in Harlem,"$10,438,504"
"He Said, She Said","$9,804,775"
The Butcher's Wife,"$9,689,816"
Scenes from a Mall,"$9,563,393"
Guilty by Suspicion,"$9,480,198"
Body Parts,"$9,188,150"
Stone Cold,"$9,151,887"
Warlock,"$9,094,451"
Late for Dinner,"$8,906,823"
The Five Heartbeats,"$8,750,400"
Bingo,"$8,667,684"
Nothing But Trouble,"$8,479,793"
Black Robe,"$8,211,952"
If Looks Could Kill,"$7,788,597"
Strictly Business,"$7,683,267"
Harley Davidson and the Marlboro Man,"$7,434,726"
Wild Hearts Can't Be Broken,"$7,294,835"
Rush,"$7,241,350"
Suburban Commando,"$6,948,859"
Defenseless,"$6,413,375"
My Own Private Idaho,"$6,401,336"
Rambling Rose,"$6,266,621"
Mystery Date,"$6,166,819"
Barton Fink,"$6,153,939"
Europa Europa,"$5,575,738"
Delirious,"$5,546,827"
Livin' Large!,"$5,467,959"
Eve of Destruction,"$5,451,119"
The Object of Beauty,"$5,136,759"
Nikita,"$5,017,971"
True Identity,"$4,693,236"
The Hitman,"$4,654,288"
Dutch,"$4,603,929"
Run,"$4,409,328"
Hear My Song,"$4,313,473"
Popcorn,"$4,205,000"
Life Stinks,"$4,102,526"
Impromptu,"$4,076,211"
Antarctica,"$4,075,362"
Paris Is Burning,"$3,779,620"
Mannequin: On the Move,"$3,752,428"
My Heroes Have Always Been Cowboys,"$3,603,615"
Shout,"$3,547,684"
Homicide,"$2,971,661"
Another You,"$2,865,916"
The Man in the Moon,"$2,853,801"
Return to the Blue Lagoon,"$2,807,854"
Straight Out of Brooklyn,"$2,712,293"
Naked Lunch,"$2,641,357"
Showdown in Little Tokyo,"$2,275,557"
29th Street,"$2,120,564"
Cadence,"$2,070,871"
The Double Life of Véronique,"$2,002,966"
Ju Dou,"$1,986,433"
Madame Bovary,"$1,942,423"
Spartacus 1991 Re-release,"$1,830,650"
Prospero's Books,"$1,750,301"
Everybody's Fine,"$1,745,470"
My Father's Glory,"$1,730,856"
High Heels,"$1,710,057"
Citizen Kane 1991 Re-release,"$1,585,634"
Truly Madly Deeply,"$1,554,742"
Life Is Sweet,"$1,516,414"
Company Business,"$1,501,785"
My Mother's Castle,"$1,477,071"
Mister Johnson,"$1,464,242"
Book of Love,"$1,382,259"
At Play in the Fields of the Lord,"$1,345,903"
City of Hope,"$1,345,015"
Hearts of Darkness: A Filmmaker's Apocalypse,"$1,318,449"
The Rapture,"$1,277,404"
Kickboxer 2: The Road Back,"$1,250,712"
The Comfort of Strangers,"$1,244,381"
Slacker,"$1,228,108"
Cool as Ice,"$1,193,062"
Year of the Gun,"$1,182,273"
The Unborn,"$1,159,578"
Daddy Nostalgia,"$1,108,429"
Kafka,"$1,059,071"
An Angel at My Table,"$1,054,638"
Whore,"$1,008,404"
Screenplay: Antonia and Jane,"$1,002,078"
Meeting Venus,"$1,000,348"
Talkin' Dirty After Dark,"$978,775"
The Taking of Beverly Hills,"$939,277"
Beastmaster 2: Through the Portal of Time,"$869,325"
The 23rd Tournee of Animation,"$862,309"
The Miracle,"$835,519"
Until the End of the World,"$829,625"
Poison,"$787,280"
Mindwalk,"$774,048"
The Story of Boys & Girls,"$741,221"
Rosencrantz & Guildenstern Are Dead,"$739,104"
The British Invasion Returns,"$729,102"
Thousand Pieces of Gold,"$717,772"
Dice Rules,"$637,327"
Queens Logic,"$612,781"
Auntie Danielle,"$604,624"
The Pope Must Diet,"$582,510"
The Search for Signs of Intelligent Life in the Universe,"$579,854"
Rich Girl,"$561,000"
Hangin' with the Homeboys,"$532,933"
"Sex, Drugs, Rock & Roll","$530,392"
Rhapsody in August,"$516,431"
Meet the Applegates,"$485,772"
McBain,"$456,127"
Drowning by Numbers,"$424,773"
Aladdin,"$346,476,295"
Home Alone 2: Lost in New York,"$173,585,516"
Batman Returns,"$162,831,698"
Lethal Weapon 3,"$144,731,527"
A Few Good Men,"$141,340,178"
Sister Act,"$139,605,150"
The Bodyguard,"$121,945,720"
Wayne's World,"$121,697,323"
Basic Instinct,"$117,727,224"
A League of Their Own,"$107,533,928"
Unforgiven,"$101,157,447"
The Hand That Rocks the Cradle,"$88,036,683"
Under Siege,"$83,563,139"
Patriot Games,"$83,351,587"
Dracula,"$82,522,790"
White Men Can't Jump,"$76,253,806"
The Last of the Mohicans,"$75,505,856"
Boomerang,"$70,052,444"
Scent of a Woman,"$63,095,253"
The Crying Game,"$62,548,947"
Far and Away,"$58,883,840"
"Honey, I Blew Up the Kid","$58,662,452"
HouseSitter,"$58,500,635"
Death Becomes Her,"$58,422,650"
Unlawful Entry,"$57,138,719"
Beethoven,"$57,114,049"
Forever Young,"$55,956,187"
Alien³,"$55,473,545"
My Cousin Vinny,"$52,929,168"
Sneakers,"$51,432,691"
The Mighty Ducks,"$50,752,337"
Wayne's World 2,"$48,198,019"
Malcolm X,"$48,169,910"
Single White Female,"$48,017,402"
The Distinguished Gentleman,"$46,666,502"
Medicine Man,"$45,500,797"
Passenger 57,"$44,065,653"
A River Runs Through It,"$43,440,294"
Encino Man,"$40,693,477"
Mo' Money,"$40,227,006"
Universal Soldier,"$36,299,898"
Honeymoon in Vegas,"$35,208,854"
The Lawnmower Man,"$32,100,816"
Sleepwalkers,"$30,524,763"
The Muppet Christmas Carol,"$29,192,434"
3 Ninjas,"$29,000,301"
Final Analysis,"$28,590,665"
Stop! Or My Mom Will Shoot,"$28,411,210"
Howards End,"$25,966,555"
Candyman,"$25,792,310"
The Cutting Edge,"$25,105,517"
FernGully: The Last Rainforest,"$24,650,296"
Hoffa,"$24,276,506"
Leap of Faith,"$23,369,283"
Toys,"$23,278,931"
Thunderheart,"$22,660,758"
Captain Ron,"$22,518,097"
The Player,"$21,706,101"
Shining Through,"$21,633,781"
Consenting Adults,"$21,591,728"
Raising Cain,"$21,370,057"
Straight Talk,"$21,202,099"
Kuffs,"$21,142,815"
Mr. Baseball,"$20,883,046"
Juice,"$20,146,880"
Prelude to a Kiss,"$20,006,730"
Hero,"$19,507,345"
Pinocchio 1992 Re-release,"$18,863,559"
Singles,"$18,471,850"
Used People,"$17,957,265"
The Babe,"$17,530,973"
Freejack,"$17,129,026"
Pet Sematary II,"$17,092,453"
Deep Cover,"$16,639,799"
Buffy the Vampire Slayer,"$16,624,456"
Pure Country,"$15,164,458"
Ladybugs,"$14,796,494"
School Ties,"$14,715,067"
City of Joy,"$14,683,921"
Memoirs of an Invisible Man,"$14,358,033"
Rapid Fire,"$14,356,479"
Cool World,"$14,110,589"
Mr. Saturday Night,"$13,351,357"
The Great Mouse Detective 1992 Re-release,"$13,288,756"
Class Act,"$13,272,113"
Trespass,"$13,249,535"
Enchanted April,"$13,200,170"
American Me,"$13,086,430"
Hellraiser III: Hell on Earth,"$12,534,961"
A Stranger Among Us,"$12,282,994"
Rock-A-Doodle,"$11,657,385"
Jennifer 8,"$11,390,479"
Whispers in the Dark,"$11,124,511"
Stay Tuned,"$10,736,401"
Glengarry Glen Ross,"$10,725,228"
Husbands and Wives,"$10,555,619"
Chaplin,"$9,493,259"
Gladiator,"$9,223,441"
White Sands,"$9,011,574"
Once Upon a Crime...,"$8,669,847"
Bébé's Kids,"$8,442,162"
Dr. Giggles,"$8,403,433"
Christopher Columbus: The Discovery,"$8,251,071"
Damage,"$7,532,911"
Mississippi Masala,"$7,308,786"
Sarafina!,"$7,306,242"
1492: Conquest of Paradise,"$7,191,399"
The Mambo Kings,"$6,742,168"
Article 99,"$6,375,979"
Night and the City,"$6,202,756"
Folks!,"$6,132,924"
Indochine,"$5,603,158"
Wind,"$5,519,569"
Of Mice and Men,"$5,471,088"
Split Second,"$5,430,822"
The Lover,"$5,013,090"
Innocent Blood,"$4,943,279"
The Playboys,"$4,906,900"
Diggstown,"$4,836,637"
Passion Fish,"$4,814,619"
Radio Flyer,"$4,651,977"
Blade Runner The Final Cut,"$4,642,280"
Mediterraneo,"$4,532,791"
Bob Roberts,"$4,479,470"
Twin Peaks: Fire Walk with Me,"$4,160,851"
Man Trouble,"$4,096,030"
Peter's Friends,"$4,058,564"
Passed Away,"$4,030,793"
The Gun in Betty Lou's Handbag,"$3,721,911"
Traces of Red,"$3,206,714"
K2,"$3,106,559"
Blame It on the Bellboy,"$3,104,545"
Tous les matins du monde,"$3,089,497"
The Public Eye,"$3,067,917"
CrissCross,"$3,052,738"
This Is My Life,"$2,922,094"
Reservoir Dogs,"$2,832,029"
The Power of One,"$2,827,107"
Newsies,"$2,819,485"
Year of the Comet,"$2,791,515"
Shadows and Fog,"$2,735,731"
Raise the Red Lantern,"$2,603,061"
Aces: Iron Eagle III,"$2,517,600"
Flirting,"$2,415,396"
Love Crimes,"$2,287,928"
Noises Off...,"$2,280,148"
A Brief History of Time,"$2,279,692"
Mom and Dad Save the World,"$2,034,470"
Gate 2: The Trespassers,"$2,032,973"
Bad Lieutenant,"$2,019,469"
Night on Earth,"$2,015,810"
Poison Ivy,"$1,829,804"
Delicatessen,"$1,794,187"
The Waterdance,"$1,723,319"
Casablanca 1992 Re-release,"$1,719,913"
Out on a Limb,"$1,659,542"
Daughters of the Dust,"$1,642,436"
Zebrahead,"$1,557,771"
One False Move,"$1,543,112"
A Midnight Clear,"$1,526,697"
Leaving Normal,"$1,514,114"
Where Angels Fear to Tread,"$1,403,033"
South Central,"$1,373,196"
Little Nemo: Adventures in Slumberland,"$1,368,000"
Gas Food Lodging,"$1,342,613"
Brother's Keeper,"$1,305,915"
Spike & Mike's Festival of Animation Volume 1,"$1,268,529"
The Best Intentions,"$1,253,106"
Toto the Hero,"$1,228,153"
The Hairdresser's Husband,"$1,217,084"
Freddie as F.R.O.7.,"$1,119,368"
Mistress,"$1,102,469"
Waterland,"$1,100,218"
Steeper & Deeper,"$1,076,685"
Light Sleeper,"$1,055,987"
Europa,"$1,007,001"
35 Up,"$922,872"
Ruby,"$919,286"
Brain Donors,"$918,239"
Rampage,"$796,368"
Cabeza de Vaca,"$789,127"
Turtle Beach,"$778,535"
Love Potion No. 9,"$754,935"
Edward II,"$694,438"
The Living End,"$692,585"
Johnny Stecchino,"$626,057"
Wild Orchid II: Two Shades of Blue,"$573,904"
Incident at Oglala,"$536,848"
Proof,"$524,668"
Voyager,"$516,517"
Crossing the Bridge,"$479,676"
Danzón,"$450,501"
Storyville,"$422,503"
The Adjuster,"$396,573"
Where the Day Takes You,"$390,152"
Close to Eden,"$377,832"
Monster in a Box,"$311,245"
The Panama Deception,"$309,596"
Hard Promises,"$306,319"
Becoming Colette,"$272,931"
Jurassic Park,"$912,667,947"
Mrs. Doubtfire,"$219,195,243"
The Fugitive,"$183,875,760"
The Firm,"$158,348,367"
Sleepless in Seattle,"$126,680,884"
Indecent Proposal,"$106,614,059"
In the Line of Fire,"$102,314,823"
The Pelican Brief,"$100,768,056"
Schindler's List,"$96,065,768"
Cliffhanger,"$84,049,211"
Free Willy,"$77,698,625"
Philadelphia,"$77,446,440"
Groundhog Day,"$70,906,973"
Grumpy Old Men,"$70,172,621"
Cool Runnings,"$68,856,263"
Dave,"$63,270,710"
Rising Sun,"$63,179,523"
Demolition Man,"$58,055,768"
Sister Act 2: Back in the Habit,"$57,319,029"
Tombstone,"$56,505,065"
The Three Musketeers,"$53,898,845"
Rookie of the Year,"$53,615,089"
Beethoven's 2nd,"$53,443,066"
Dennis the Menace,"$51,270,765"
Sommersby,"$50,081,992"
Last Action Hero,"$50,016,394"
The Nightmare Before Christmas,"$50,003,043"
Addams Family Values,"$48,919,043"
Malice,"$46,405,336"
Made in America,"$44,942,695"
The Good Son,"$44,789,789"
The Beverly Hillbillies,"$44,029,386"
Teenage Mutant Ninja Turtles III,"$42,273,609"
Homeward Bound: The Incredible Journey,"$41,833,324"
Snow White and the Seven Dwarfs 1993 Re-release,"$41,634,471"
Falling Down,"$40,903,593"
The Piano,"$40,157,856"
Hocus Pocus,"$39,514,713"
What's Love Got to Do with It,"$39,100,956"
Hot Shots! Part Deux,"$38,922,972"
Carlito's Way,"$36,948,322"
Alive,"$36,733,909"
Son in Law,"$36,448,400"
Sliver,"$36,300,000"
Robin Hood: Men in Tights,"$35,739,755"
Dragon: The Bruce Lee Story,"$35,113,743"
The Joy Luck Club,"$32,901,136"
Hard Target,"$32,589,677"
The Sandlot,"$32,434,006"
The Age of Innocence,"$32,255,440"
Cop & ½,"$31,889,691"
The Secret Garden,"$31,181,347"
A Perfect World,"$31,130,999"
Point of No Return,"$30,038,362"
Loaded Weapon 1,"$27,979,399"
Menace II Society,"$27,912,072"
My Life,"$27,804,899"
Poetic Justice,"$27,515,786"
Shadowlands,"$25,842,377"
In the Name of the Father,"$25,096,862"
The Man Without a Face,"$24,760,338"
Striking Distance,"$24,107,867"
The Adventures of Huck Finn,"$24,103,594"
Benny & Joon,"$23,261,580"
The Remains of the Day,"$23,237,911"
The Program,"$23,032,565"
Guilty as Sin,"$22,866,222"
Rudy,"$22,750,363"
Much Ado About Nothing,"$22,549,338"
Nowhere to Run,"$22,189,039"
Como agua para chocolate,"$21,665,468"
Coneheads,"$21,274,717"
Super Mario Bros.,"$20,915,465"
Another Stakeout,"$20,208,496"
Fire in the Sky,"$19,885,552"
Sniper,"$18,994,653"
Untamed Heart,"$18,898,806"
Geronimo: An American Legend,"$18,635,620"
Posse,"$18,289,763"
CB4,"$17,953,778"
Born Yesterday,"$17,952,857"
A Bronx Tale,"$17,287,898"
Sidekicks,"$17,180,393"
Heart and Souls,"$16,589,540"
Jason Goes to Hell: The Final Friday,"$15,935,068"
Needful Things,"$15,185,672"
Indian Summer,"$14,904,910"
The Vanishing,"$14,543,394"
The Crush,"$13,609,396"
Body of Evidence,"$13,273,595"
True Romance,"$13,088,778"
Man's Best Friend,"$12,974,636"
A Far Off Place,"$12,890,752"
Weekend at Bernie's II,"$12,741,891"
Judgment Night,"$12,526,677"
Life with Mikey,"$12,440,858"
Undercover Blues,"$12,324,660"
Strictly Ballroom,"$11,738,022"
So I Married an Axe Murderer,"$11,585,483"
Army of Darkness,"$11,502,976"
Manhattan Murder Mystery,"$11,330,911"
Who's the Man?,"$11,299,730"
For Love or Money,"$11,146,270"
Mad Dog and Glory,"$11,081,586"
Gettysburg,"$10,769,960"
RoboCop 3,"$10,696,210"
The Dark Half,"$10,611,160"
Look Who's Talking Now,"$10,340,263"
Boiling Point,"$10,058,318"
What's Eating Gilbert Grape,"$10,032,765"
Amos & Andrew,"$9,745,803"
Flesh and Bone,"$9,709,451"
Matinee,"$9,532,895"
We're Back! A Dinosaur's Story,"$9,317,021"
Lost in Yonkers,"$9,285,189"
Leprechaun,"$8,556,940"
Mr. Jones,"$8,345,845"
Aspen Extreme,"$8,041,049"
The Meteor Man,"$8,016,708"
Dazed and Confused,"$7,993,039"
Fatal Instinct,"$7,839,327"
Lorenzo's Oil,"$7,286,388"
Searching for Bobby Fischer,"$7,266,383"
Fearless,"$6,995,302"
Children of the Corn II: The Final Sacrifice,"$6,980,986"
The Wedding Banquet,"$6,933,459"
Fortress,"$6,739,141"
Best of the Best II,"$6,608,687"
Once Upon a Forest,"$6,582,052"
The Real McCoy,"$6,484,246"
The Temp,"$6,419,876"
Six Degrees of Separation,"$6,405,918"
Short Cuts,"$6,110,979"
Farewell My Concubine,"$6,095,491"
The Cemetery Club,"$6,011,745"
Heaven & Earth,"$5,864,949"
Hear No Evil,"$5,679,569"
Swing Kids,"$5,632,086"
Batman: Mask of the Phantasm,"$5,617,391"
Three of Hearts,"$5,495,507"
Orlando,"$5,319,445"
Jack the Bear,"$5,145,823"
Ghost in the Machine,"$5,086,909"
Surf Ninjas,"$4,916,135"
Into the West,"$4,790,801"
"Blood In, Blood Out","$4,496,583"
Mr. Nanny,"$4,348,572"
This Boy's Life,"$4,104,962"
Warlock: The Armageddon,"$3,902,679"
Tom and Jerry: The Movie,"$3,560,469"
Father Hood,"$3,418,141"
My Boyfriend's Back,"$3,335,984"
Screen Two: The Snapper,"$3,323,524"
Happily Ever After,"$3,299,382"
Only the Strong,"$3,283,371"
Splitting Heirs,"$3,246,063"
Mr. Wonderful,"$3,125,424"
Airborne,"$2,850,263"
The Judas Project,"$2,850,135"
Map of the Human Heart,"$2,806,881"
Hexed,"$2,786,807"
Calendar Girl,"$2,570,550"
Son of the Pink Panther,"$2,438,031"
Kalifornia,"$2,395,231"
Rich in Love,"$2,149,866"
The Nutcracker,"$2,119,994"
Screen Two: The Clothes in the Wardrobe,"$2,106,846"
Married to It,"$2,059,832"
El Mariachi,"$2,040,920"
Nemesis,"$2,001,124"
The Story of Qiu Ju,"$1,890,247"
The Night We Never Met,"$1,884,814"
Boxing Helena,"$1,796,389"
Naked,"$1,769,305"
Carnosaur,"$1,753,979"
A Home of Our Own,"$1,677,807"
Josh and S.A.M.,"$1,640,220"
Black Diamond Rush,"$1,634,386"
Wide Sargasso Sea,"$1,614,784"
Un Coeur en Hiver,"$1,605,437"
M. Butterfly,"$1,498,795"
A Dangerous Woman,"$1,497,222"
Ernest Rides Again,"$1,450,029"
Shadow of the Wolf,"$1,434,174"
Three Colors: Blue,"$1,324,974"
Thirty Two Short Films About Glenn Gould,"$1,319,521"
Baraka,"$1,254,237"
King of the Hill,"$1,214,231"
"Olivier, Olivier","$1,154,476"
Excessive Force,"$1,152,117"
Money for Nothing,"$1,039,824"
The Thing Called Love,"$1,029,721"
Love Field,"$1,014,726"
