Title,Worldwide
The Blue Lagoon,"$58,853,106"
The Blues Brothers,"$57,230,581"
Ordinary People,"$54,766,923"
Popeye,"$49,823,037"
Urban Cowboy,"$46,918,287"
The Shining,"$44,017,374"
Seems Like Old Times,"$43,995,918"
Cheech and Chong's Next Movie,"$41,675,194"
Caddyshack,"$39,846,344"
Friday the 13th,"$39,754,601"
Brubaker,"$37,121,708"
Little Darlings,"$34,326,249"
Dressed to Kill,"$31,899,000"
The Jazz Singer,"$27,118,000"
Flash Gordon,"$27,107,960"
Lady and the Tramp 1980 Re-release,"$26,114,207"
The Elephant Man,"$26,010,864"
Bronco Billy,"$24,265,659"
Raging Bull,"$23,334,953"
Xanadu,"$22,762,571"
American Gigolo,"$22,743,674"
My Bodyguard,"$22,482,952"
The Fog,"$21,378,361"
Fame,"$21,202,829"
Tess,"$20,093,330"
Altered States,"$19,853,892"
Song of the South,"$19,800,000"
Cruising,"$19,784,223"
The Octagon,"$18,971,000"
The Aristocats,"$18,000,000"
Honeysuckle Rose,"$17,815,212"
Herbie Goes Bananas,"$17,000,000"
Rough Cut,"$16,656,125"
The Final Countdown,"$16,647,800"
The Hunter,"$16,274,150"
Hero at Large,"$15,934,737"
The Long Riders,"$15,795,189"
The Island,"$15,716,828"
Close Encounters of the Third Kind 1980 Special Edition,"$15,693,175"
First Family,"$15,198,912"
Prom Night,"$14,796,236"
The Nude Bomb,"$14,662,035"
"Oh, God! Book II","$14,504,277"
The Competition,"$14,287,755"
Wholly Moses!,"$14,155,617"
Mary Poppins 1980 Re-release,"$14,000,000"
The Last Married Couple in America,"$12,835,544"
Used Cars,"$11,715,321"
The Last Flight of Noah's Ark,"$11,000,000"
The Mirror Crack'd,"$11,000,000"
The Fiendish Plot of Dr. Fu Manchu,"$10,697,276"
Stardust Memories,"$10,389,003"
The Hollywood Knights,"$10,000,000"
Serial,"$9,870,727"
Somewhere in Time,"$9,709,597"
Saturn 3,"$9,000,000"
Tribute,"$9,000,000"
The Formula,"$8,894,289"
Mad Max,"$8,750,000"
Battle Creek Brawl,"$8,527,743"
The Awakening,"$8,415,112"
Fatso,"$7,653,061"
How to Become a Detective,"$7,500,000"
How to Beat the High Cost of Living,"$7,500,000"
Foxes,"$7,470,348"
The Big Red One,"$7,206,220"
The Stunt Man,"$7,063,886"
Where the Buffalo Roam,"$6,659,377"
The Gong Show Movie,"$6,621,520"
Motel Hell,"$6,342,668"
Little Miss Marker,"$6,321,392"
Oh Heavenly Dog,"$6,216,067"
Divine Madness,"$5,318,098"
In God We Trust (or Gimme That Prime Time Religion),"$5,215,015"
He Knows You're Alone,"$4,875,436"
Coast to Coast,"$4,495,445"
Melvin and Howard,"$4,309,490"
Roadie,"$4,226,370"
Gloria,"$4,059,673"
Jaws 2 1980 Re-release,"$4,028,735"
Kagemusha,"$4,000,000"
Resurrection,"$3,910,019"
Hide in Plain Sight,"$3,806,930"
Guyana: Cult of the Damned,"$3,798,102"
When Time Ran Out...,"$3,763,988"
Heaven's Gate,"$3,484,331"
North Sea Hijack,"$2,993,772"
Midnight Madness,"$2,900,000"
Loving Couples,"$2,806,659"
The Idolmaker,"$2,625,716"
The Black Marble,"$2,500,000"
Gilda Live,"$2,261,507"
Windows,"$2,128,395"
Just Tell Me What You Want,"$2,086,905"
"Bon Voyage, Charlie Brown (and Don't Come Back!!)","$2,013,193"
Carny,"$1,817,720"
When a Stranger Calls 1980 Re-release,"$1,262,052"
Why Would I Lie?,"$1,175,855"
Nijinsky,"$1,047,454"
Heart Beat,"$954,046"
One-Trick Pony,"$843,215"
"Those Lips, Those Eyes","$804,713"
A Small Circle of Friends,"$766,760"
Leo and Loree,"$517,988"
Home Movies,"$89,134"
Phobia,"$59,167"
Stalker 2019 Re-release,"$11,757"
Breaking Glass,"$2,471"
Indiana Jones and the Raiders of the Lost Ark,"$212,222,025"
On Golden Pond,"$119,285,432"
Superman II,"$108,185,706"
Arthur,"$95,461,682"
Stripes,"$85,297,000"
The Cannonball Run,"$72,179,579"
Chariots of Fire,"$58,972,904"
For Your Eyes Only,"$54,812,802"
The Four Seasons,"$50,427,646"
Time Bandits,"$42,365,581"
Clash of the Titans,"$41,092,328"
Absence of Malice,"$40,716,963"
Reds,"$40,382,659"
The Fox and the Hound,"$39,900,000"
Tarzan the Ape Man,"$36,565,280"
Taps,"$35,856,053"
Sharky's Machine,"$35,610,100"
Excalibur,"$34,967,437"
Endless Love,"$32,492,674"
History of the World: Part I,"$31,672,907"
Bustin' Loose,"$31,261,269"
The Great Muppet Caper,"$31,206,251"
An American Werewolf in London,"$30,565,292"
Neighbors,"$29,916,207"
Fort Apache the Bronx,"$29,200,000"
Cinderella 1981 Re-release,"$28,040,000"
The French Lieutenant's Woman,"$26,890,068"
Private Lessons,"$26,279,000"
Modern Problems,"$26,154,211"
Halloween II,"$25,533,818"
Only When I Laugh,"$25,524,778"
Escape from New York,"$25,244,626"
Body Heat,"$24,058,838"
Ghost Story,"$23,371,905"
Friday the 13th Part 2,"$21,722,776"
The Final Conflict,"$20,471,382"
The Incredible Shrinking Woman,"$20,259,961"
Mommie Dearest,"$19,032,261"
Paternity,"$18,838,812"
Under the Rainbow,"$18,826,490"
The Howling,"$17,985,893"
Eye of the Needle,"$17,583,634"
Take This Job and Shove It,"$17,569,027"
Outland,"$17,374,595"
The Devil and Max Devlin,"$16,000,000"
Caveman,"$15,965,924"
Continental Divide,"$15,578,237"
The Night the Lights Went Out in Georgia,"$14,923,752"
Ragtime,"$14,920,781"
Nighthawks,"$14,905,359"
S.O.B.,"$14,867,086"
Rich and Famous,"$14,492,125"
Scanners,"$14,225,876"
Dragonslayer,"$14,110,013"
True Confessions,"$12,850,276"
Atlantic City,"$12,729,675"
The Legend of the Lone Ranger,"$12,617,845"
First Monday in October,"$12,480,249"
The Postman Always Rings Twice,"$12,376,625"
Blow Out,"$12,000,000"
Back Roads,"$11,809,387"
Thief,"$11,492,915"
Victory,"$10,853,418"
Rollover,"$10,851,261"
Wolfen,"$10,626,725"
Carbon Copy,"$9,566,593"
Pennies from Heaven,"$9,171,289"
Deadly Blessing,"$8,279,042"
Whose Life Is It Anyway?,"$8,206,145"
Prince of the City,"$8,124,257"
The Funhouse,"$7,886,857"
Buddy Buddy,"$7,258,543"
La Cage aux Folles II,"$6,950,125"
...All the Marbles,"$6,468,195"
Eyewitness,"$6,400,000"
Gallipoli,"$5,732,587"
My Bloody Valentine,"$5,672,031"
Going Ape!,"$5,504,218"
The Dogs of War,"$5,484,132"
Student Bodies,"$5,165,432"
The Watcher in the Woods,"$5,000,000"
All Night Long,"$4,454,295"
The Pursuit of D.B. Cooper,"$3,702,028"
Zoot Suit,"$3,256,082"
The Fan,"$3,082,096"
The Last Metro,"$3,007,436"
Gas,"$2,869,425"
Modern Romance,"$2,863,642"
The Hand,"$2,447,576"
Heartbeeps,"$2,154,696"
This Is Elvis,"$2,028,612"
Sphinx,"$2,022,771"
Honky Tonk Freeway,"$2,004,742"
Raggedy Man,"$1,976,198"
King of the Mountain,"$1,791,147"
Cutter's Way,"$1,729,274"
Silence of the North,"$1,622,898"
From Mao to Mozart: Isaac Stern in China,"$1,205,934"
Night School,"$1,169,875"
Eyes of a Stranger,"$1,118,634"
Herbie Goes Bananas 1981 Re-release,"$1,000,000"
Herbie Goes to Monte Carlo 1981 Re-release,"$1,000,000"
Les séducteurs,"$621,931"
Beyond the Reef,"$547,525"
Cattle Annie and Little Britches,"$534,816"
Hard Country,"$534,653"
Man of Iron,"$492,035"
Kelly,"$469,777"
Freaky Friday 1981 Re-release,"$300,000"
The Sea Wolves,"$220,181"
Second-Hand Hearts,"$19,450"
Glen or Glenda 1981 Re-release,"$10,158"
That Obscure Object of Desire,$809
Dissolute Wife,$785
E.T. the Extra-Terrestrial,"$359,197,037"
Tootsie,"$177,200,000"
An Officer and a Gentleman,"$129,795,554"
Rocky III,"$124,146,897"
Porky's,"$105,492,483"
Star Trek II: The Wrath of Khan,"$78,912,963"
48 Hrs.,"$78,868,508"
Poltergeist,"$76,606,280"
The Best Little Whorehouse in Texas,"$69,701,637"
Annie,"$57,059,003"
The Verdict,"$53,977,250"
Gandhi,"$52,767,889"
First Blood,"$47,212,904"
The Toy,"$47,118,057"
Firefox,"$46,708,276"
The Dark Crystal,"$40,577,001"
Conan the Barbarian,"$39,565,475"
The Sword and the Sorcerer,"$39,103,425"
Best Friends,"$36,821,203"
Richard Pryor: Live on the Sunset Strip,"$36,299,720"
Friday the 13th Part III,"$34,581,519"
Tron,"$33,000,000"
Young Doctors in Love,"$30,688,860"
Sophie's Choice,"$30,036,000"
The World According to Garp,"$29,712,172"
Victor Victoria,"$28,215,453"
Blade Runner,"$27,580,111"
Airplane II: The Sequel,"$27,150,534"
Fast Times at Ridgemont High,"$27,092,880"
Some Kind of Hero,"$23,671,186"
Mad Max 2: The Road Warrior,"$23,667,907"
Bambi 1982 Re-release,"$23,000,000"
Pink Floyd: The Wall,"$22,244,207"
Indiana Jones and the Raiders of the Lost Ark 1982 Re-release,"$21,437,879"
Things Are Tough All Over,"$21,134,374"
Night Shift,"$21,095,638"
Creepshow,"$21,028,755"
Quest for Fire,"$20,959,585"
The Man from Snowy River,"$20,659,423"
Six Pack,"$20,225,989"
My Favorite Year,"$20,123,620"
The Thing,"$19,629,760"
Deathtrap,"$19,282,134"
Dead Men Don't Wear Plaid,"$18,196,170"
Peter Pan 1982 Re-release,"$17,200,000"
Zapped!,"$16,897,768"
They Call Me Bruce,"$16,894,678"
Death Wish II,"$16,100,000"
Kiss Me Goodbye,"$15,782,759"
Star Wars: Episode IV - A New Hope 1982 Re-release,"$15,476,785"
